"MAT_NOVA_MATRICULA","ALU_ANO_INGRESSO","ALU_PERIODO_INGRESSO","Álgebra Linear I","Álgebra Vetorial e Geometria Analítica","Cálculo Diferencial e Integral I","Cálculo Diferencial e Integral II","Engenharia de Software I","Estrutura de Dados e Algoritmos","Fundamentos de Física Clássica","Fundamentos de Física Moderna","Gerência da Informação","Introdução à Computação","Lab. de Estrutura de Dados e Algoritmos","Lab. de Org. e Arquitetura de Computadores","Laboratório de Programação I","Laboratório de Programação II","Leitura e Produção de Textos","Lógica Matemática","Matemática Discreta","Métodos Estatisticos","Org. e Arquitetura de Computadores I","Paradigmas de Ling. de Programação","Probabilidade e Estatistica","Programação I","Programação II","Sistemas de Informação I","Teoria da Computação","Teoria dos Grafos"
"190d045c609f223df26bce7382e57ae7",2004,1,7,7.8,7.2,NA,7.1,8.5,NA,5.6,8.3,8.1,8,8.8,7.6,8.2,8.7,7.7,7.6,6.1,7.8,9.2,7.2,9,7.6,8.1,7.6,7.3
"194c87a29268c2d149904ca91f91649d",2012,1,NA,8.9,7.8,5.5,8.4,7.1,9,NA,7.7,10,7.8,10,9,9.2,9.2,NA,NA,NA,9.2,7,NA,8.9,9.3,9.7,7.7,7.7
"1a0ab5c8e1f3b7f0342c5f18360dd808",2011,2,5.1,NA,NA,NA,NA,7.3,8.3,8.5,7.7,7.8,7,10,7.6,5.1,7.7,NA,7.6,NA,7.6,NA,5.1,5.7,6.7,7.9,6.9,5.9
"1a20d7ed7a7268c1f13f25ea62369a56",2001,1,NA,9,9.4,NA,7.7,7.4,7,7.2,8.3,9.1,7.3,7,9.6,9.4,8.1,6.1,7,7.2,7,6.4,7,8.8,8.8,7.3,7,7
"1a470e61512b6b47608a4accbd0a9206",2012,1,5,7,5,NA,5.4,7,5.3,6.8,6.7,7.6,5.6,6.4,5,5.6,7.5,7,5.5,NA,NA,8.4,5.4,5.4,5,5.4,5.8,7.2
"1a549bff8426a8ca54458aa57b466186",2012,1,5,5,5.3,5.1,7,5.5,7.5,8.1,5.9,5.9,5,8.7,7,6.7,7,5.8,7.9,5.2,6.4,7.3,5.2,7.3,5.9,7.7,5.4,7.6
"1ac2fe5b8865db1b978a45db4da646c0",2014,2,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1adf007d198816c131f9951f16ecd38d",2014,1,NA,6.8,5.6,5.2,NA,6,7,7,7.4,7.9,5.5,NA,8.2,8.9,8.3,8.9,6.1,NA,NA,8.8,5.1,8.2,8.4,10,5.1,10
"1b1fd1c78e2896ceec2ad13aa4230cc9",2013,2,5,7,7.3,7,NA,5.4,7.6,7.5,7,7.5,6.1,7.9,5,7.1,8.7,6.8,6.1,5.7,5.5,7,5.2,5,7,7,7.2,7.6
"1b23fa2d63f99257039696e6f83b7fad",2014,2,7.8,7.5,6.4,7.6,NA,7,8,NA,8.6,8.7,5.2,NA,7.1,7.2,10,NA,7.8,NA,NA,NA,5.6,7.1,7,NA,5.9,8
"1b2daa24ed080e8067ea0f0f47d4867a",2008,2,NA,9.7,NA,NA,8,8,8.5,8.5,8.5,10,9,8.5,9.8,9,8,NA,NA,8.5,9.6,7,6.3,9.4,9.3,9.3,8.2,NA
"1b68d1bb266fe708052897f38c89cc05",2012,2,5.5,7.2,5.2,6.1,NA,5.7,5.6,5.4,5.4,5.8,5.6,NA,5.6,5.1,6,6.1,6.1,NA,NA,8.3,NA,5.6,5.3,6,5.2,5
"1b712669e05221dfbd39067dff8bd6ff",2008,2,NA,8.4,NA,NA,8.2,5.3,7.8,8.1,8.5,9.8,8.4,8.4,7.7,8.3,8,NA,NA,7.1,9,6.2,6.6,7.4,8.2,8.2,7.3,NA
"1bf2e20031a3dee1334171965990f99b",2004,1,NA,8.9,6.3,NA,7.7,7.8,5.6,8.5,8.5,9,7.7,NA,7.5,8.2,7.3,7.7,7,NA,NA,6.2,7,7.7,5.4,NA,7,7
"1c045793266ab949cdfba8df6f914de1",2006,1,NA,8.2,7,NA,5.6,7,7.5,5.5,6.1,7.8,7,8.5,9.7,9.1,7.6,7.1,7,5.3,6.3,6.6,6.9,8.3,8.4,7,6.1,7.9
"1c077ce10aa865d23ecb66b56b7f62b4",2013,1,7.5,8.4,8.7,8,5.5,8.5,8.5,8.1,7.9,8.3,8.3,8.3,7,8.2,7.5,7.8,8.5,6.1,7,8,6.9,7,8.2,8.8,6.9,10
"1c681fac712be976dad1ecad257a6500",2002,1,NA,7.8,7.3,NA,7.7,7.3,5.4,5.4,7.1,8.4,7.3,6.9,9.4,8.9,8.6,6.7,5.5,5.6,5.8,6.8,NA,9.4,8.2,7.3,7.2,7.7
"1cd60fc99a0b375eca154a112d2654b8",2003,1,NA,7.3,7,NA,7.9,5.3,6,7.3,7.7,8.4,7,7.4,7,7.7,9,7.7,6.2,5.2,7.4,6.9,6.1,7,7,7.5,6.7,5.3
"1d2588ce2b817ff082e507f046be48bd",2011,2,NA,1.8,3.6,NA,NA,NA,NA,NA,6.5,6.8,NA,NA,7.8,7.2,7.7,NA,NA,NA,NA,NA,NA,7.6,8.3,9.7,5.4,5.1
"1d3b783482108dd014e4d4e9ecb18bf1",2004,2,8.2,7.3,8.3,NA,5.9,5,NA,5.2,7.4,7.2,7,7.1,5.9,7.8,8.3,5,6.1,5,7.9,6,5,5.8,5.6,7,6.2,5.5
"1d6c0661e8d33a2860cc59642e1aa54e",2011,2,5.2,6.5,5.2,5.2,7.1,7,6.3,5.8,6.7,9,7.5,8,8.4,8.1,8.3,5.6,5.6,6.4,7.6,8.8,5.5,8.2,7.7,7.4,7.5,8
"1d9169c159cd113b7353e3008742ac85",2005,2,0,5.4,2.2,NA,NA,NA,NA,NA,0,5.3,NA,NA,5,7.9,7.6,NA,3.4,NA,NA,NA,NA,5.1,2.6,NA,1,0
"1dc87bb05234ce0b225b7118b3f56aa6",2014,2,5,6.2,6.4,5,NA,7.4,5.1,5,6.2,6.2,5.6,NA,5.4,7.3,7.7,7.6,7.4,5.7,6.2,7.4,5,5.4,8.1,7.4,5.1,7.3
"1dede020e4145adef67ed2240626388b",2014,1,7.2,6.8,5.4,5.4,7.1,7.6,6.3,8.3,5.5,7.7,7.3,8.3,6.7,7.2,7.5,7.8,5.1,7.1,6.8,9.6,7.5,6.7,7.5,5.6,5.4,7.9
"1e45d923f73b1d15fdd228dffba8bf1f",2002,1,NA,9.7,8.2,NA,8.3,7.1,8.2,8.5,9.7,8.6,7.2,9.2,9.4,8.8,8.8,8.5,6.5,7,9.7,8.6,7.2,9,7.5,8.1,5.9,9.4
"1e47fe33d9607294408c9be7505301f8",2014,1,NA,6.2,5,2,NA,5,1.5,NA,7.3,7.2,5.5,NA,8.9,8,8,NA,6.4,NA,NA,NA,NA,8.9,7.7,NA,5.1,7.4
"1e7766de2606a9cf405d6f14d700009b",2004,1,NA,7.5,7,NA,7.7,5.7,5,6,7.1,7.9,5,8.4,7,7,7.3,5,6,NA,5.9,7.1,8.2,5,5.6,NA,6.4,5
"1e88f203c6903c397bb85699400732c2",2011,2,NA,6.6,6.2,5.5,NA,7,5.1,5.6,7.2,7.7,7,NA,7.6,6.4,8,5.4,5.7,NA,NA,8,5.5,7.4,7.1,5.8,7,7.5
"1e8f2b70ee5b84411d39fcd64ecbd78a",2006,2,7.3,6.1,7.8,8,7.7,7.1,8.5,7.9,8.3,8.2,7.1,9,7.1,9,8.3,8,6.3,6.8,8.1,5.6,5.6,6.8,8.9,7.3,5,7
"1e986c0a46503fceedb6441c667c0791",2003,1,NA,5,6.1,NA,NA,7.2,5,8,7.7,7.5,5.9,0,5.6,8,7.1,5.1,5.1,NA,0,6.6,0,5.4,7,7,5.7,5.7
"1ee8dadab69731ab407491f05683e1ae",2014,2,NA,5.1,5.4,7.4,NA,8.3,8.3,NA,7.6,7.1,8,NA,9.6,10,5.7,7.2,5.3,NA,NA,NA,NA,9.6,10,NA,5.6,7.8
"1f50e14164dfdf0aa780a92e75a9c794",2007,2,5.5,8.1,7.3,NA,8.2,8.2,5.8,9.1,8,8.5,8.7,7.5,8.7,9.4,10,7.7,6.7,7.4,7.2,6.6,7.4,8.5,9.2,8.4,8.2,7.8
"203549b54a846da4b5427426a5317c80",2002,2,7,5,5.3,NA,7.8,7.3,5.1,7.4,7.6,5.8,7,8.5,5.7,5,7.8,7,7.5,6.7,7,7.1,6.2,5.1,5.7,7.4,8.1,5.7
"205084d621b947ebcd96effdbd69ed7a",2000,2,NA,5.8,7,NA,7.7,7.1,7.3,7.9,8.7,7.5,9,8.7,7.2,8,7.3,8.1,6.4,6.1,7.6,8.4,7.8,5.1,7.1,7,8.5,5.6
"20619645a62c7f319f7b02b1caba7098",2005,2,NA,9.5,9.3,NA,8.2,6.5,5.3,8.1,8.3,8.9,7.7,5.7,6,7,9.3,5,5.2,5.6,5.1,3.4,5,6,5.4,8.8,5,5
"2074e6594bd70f57f287f90a74e9770f",2014,1,5.7,5.9,5.7,7.8,NA,5.3,7,NA,5,5.2,6.8,NA,6.6,7,8.8,8.8,5.1,NA,NA,8.8,NA,6.6,7.2,9.5,7.3,9
"2088bf7dd1e3216b52b8565ee44dc882",2003,1,NA,7,7,NA,9,7.2,5,5.4,8.8,8,7.3,7.2,7,7.3,8.1,5,5.1,7.1,5.9,7.5,6.2,6.3,5.5,6,5.6,5.4
"20b51d0f6a8336760b364abd83138dc5",2014,2,NA,9.2,NA,NA,NA,6.6,NA,NA,8.5,8.3,5.6,NA,9.1,8.4,7.6,NA,8,NA,NA,NA,NA,9.1,8.8,NA,7.3,9.1
"20c99e0d2a1d65498a01bb396f323409",2014,1,NA,5.4,8.5,NA,NA,7,NA,NA,8.5,8,6.3,NA,10,7.7,NA,7.4,5.1,NA,NA,7.8,NA,10,7.6,7.7,7,7
"20dc8e671918b58d917943c240be8125",2014,1,5.2,7,5.7,5,8.5,7,7.3,7.4,8.6,10,7.1,10,9.6,8.8,8.8,7.8,8.2,9.8,9.2,8.2,8.1,9.6,8.3,8.4,8.9,9.4
"217c9f05765e7050e53018eedb1fd9f7",2014,1,5.2,7,6.5,5.7,NA,7.5,NA,NA,7.6,6.6,7.1,NA,9.3,6.9,8,NA,7,NA,NA,NA,NA,9.3,5.2,NA,7,7
"21b50cd7b66882c74a12955ada1836ae",2010,1,6.2,6.6,7.3,5.9,7.3,7.5,7.9,7.4,5.9,7.9,7,8.1,6,7,8.3,6.9,5.9,5,7.3,6.1,5.6,6,7.3,7.3,7,5.6
"21e9356ce4fd5deacfcd3526be17698d",2008,2,5.3,7.1,5.6,8.2,NA,5.2,7,NA,7.8,8.5,7,NA,5,7.2,8,5.2,5.4,NA,NA,8.3,NA,5,7.2,8.2,7,6
"21fd52127e456397b52b38fc9547150b",2013,1,NA,9.7,7.1,6.3,NA,5.3,5,NA,6,5.6,7,NA,5.6,7,NA,7.8,5,NA,NA,6,NA,5.7,7,7.7,5.3,5
"2211c95d6f48cb1834da8e9f2228cdc2",2013,2,7.1,7,6.3,7.6,9.4,7,8.2,10,7.6,7.1,7.5,7,8.2,8.2,7.4,7,7.9,8.6,7.4,8.8,7,8,8.2,8.9,8.8,10
"2223567079610bc360162f0305ddcbae",2009,1,NA,7.5,NA,NA,7.4,5.5,7,9,8,8,8.4,7.1,7.2,8.2,6.8,NA,NA,8.6,6.8,8.4,7.1,7,8,8.7,6,NA
"223a1c5b596f929a4b92329a642269ee",2012,1,5.4,7.4,6.1,5,5.8,5.2,8.2,7.3,8.4,8.3,7.1,7.4,5,7,7.2,NA,7.7,7,6.4,6.5,5.1,5.1,6.6,7.7,5,5.6
"223a2335d282585d11dfcb8c3d4d00cf",2012,2,5.4,7.3,6.5,5.2,8.2,7,7.7,7.3,8.1,7.8,5.8,7.1,7,7.7,7.7,7.6,7,7.4,7.9,NA,5.1,7,8.1,8.6,5.6,9.6
"224076be6577c818ec85f0b8820ff74c",2014,1,9,10,8.3,9.8,10,9.8,9.7,9.6,9,9.9,9.5,10,10,9.7,9.2,10,10,9.7,10,10,9.8,10,9.8,9.6,10,10
"224f1124d107c731022717967b60c0d7",2001,1,NA,9.3,8.4,NA,8.7,8,8.1,7.7,8,8.4,7.6,9,8.9,9.4,8.6,7.9,8.5,7.8,8.2,8.3,8,8.2,9.4,8.1,8.9,8.1
"22912f081d18b3501fb6b13e9eb8e540",2014,2,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.1,NA,NA,6,7.4,8.2,NA,NA,NA,NA,NA,NA,5.9,5.8,8.2,NA,5
"22b15f0fe76fa7049002d97bde4caed2",2010,1,7.1,7,6.3,7.6,9.4,7,8.2,10,7.6,7.1,7.5,7,8.2,8.2,7.4,7,7.9,8.6,7.4,8.8,7,8,8.2,8.9,8.8,10
"22e6e2d205b2f3b943bbbf8378474f45",2006,2,NA,5.8,5,0,NA,NA,0,NA,NA,7,NA,NA,7.5,7,8.1,NA,1.3,NA,NA,NA,NA,7.7,0,NA,NA,3.8
"23826684282f819a1593ef1b69be7c30",2012,2,NA,6.1,7,NA,NA,NA,NA,NA,8.2,7,NA,NA,7.8,6.4,7.4,NA,NA,NA,NA,NA,NA,7.8,8.2,NA,NA,6.3
"23834cf6cae8ff9d889f902f0a8be134",2014,1,NA,9.2,5.2,NA,NA,NA,NA,NA,NA,6.6,NA,NA,6.9,NA,7.4,NA,NA,NA,NA,NA,NA,6.9,7.5,NA,6,NA
"23dd0c4930277e1d8842f72e262b9b48",2014,2,5.6,8,6.3,5.4,NA,7.6,8.3,5,10,8.7,7.6,8.7,8.7,8.9,8.5,6.4,8.8,NA,7.2,6.6,6.4,8.7,9.6,NA,5.6,10
"242f1ec659b95ec0877ce85f5c1f8623",2013,2,5.6,7,5.4,7.2,8.7,NA,9,5.1,NA,NA,7.5,NA,7,7.7,NA,7.7,6.4,8,NA,7.8,6.2,7,7,5.6,5.3,7.8
"2433a1f97fa630547430699feac2ce13",2012,2,6.2,9.5,7.2,5.8,NA,7,7.7,8,8.2,8.2,6.3,7.5,10,7.9,7.5,8.1,7.6,7,7.6,8.8,7.5,10,8.6,7.5,7.4,8.1
"249485afb66b1f17d5a21a903189692a",2003,2,NA,6.4,5.4,NA,8.4,5.1,NA,6.2,7,5.8,7.2,8.8,8,7.2,6.5,7.7,6.7,9.3,8.2,7.5,7.6,6,5.6,7.1,6.5,5.2
"24a435541039612d0f225d32b255ca11",2006,1,NA,7.9,6.5,NA,9.2,7.9,8.3,8,8.8,9.1,8.9,8.4,8.4,8.7,9.4,8.3,7.5,8.6,7.1,8.1,7.2,9,8.6,9.7,6.9,7.2
"24a9a8b18408583d4a4a26188a7ae682",2010,2,8,5.4,6.4,5.1,7.9,5.1,7.2,8.5,7,5.3,5,8.9,7.8,7.9,7.6,5.4,7,7,6.3,7.9,6.2,7.6,7.7,7,7.3,7.5
"24e9805f1d17e292fd4dc56e1177bafd",2007,1,8.8,7,5.7,NA,7.5,7.1,6.9,8.4,8.4,8,9.1,7,6.1,8.3,9.1,5.5,6.9,7.2,7.1,6.1,5.1,5.4,8.2,7.9,5.1,7.9
"25372223c140c308cce0b5211f35e082",2007,2,6.6,7.1,8,8.2,7,5.5,7,9.1,7.9,8.2,7.7,8.8,5,8.9,7.8,8,7,8.2,9,7,5,5,7.8,8,5.5,8.2
"254e7617be3232fe81e243e22bde03ee",2000,2,NA,5.2,NA,NA,8.8,5.7,5,5.5,7.5,9.3,5.4,5.6,7,7.7,7.2,8.1,7.1,7,5.9,7,5,7,5.4,5.1,6.8,6.4
"2599ade7d503c87cabfb220e151cc67e",2014,2,NA,7.3,6.6,5,NA,8,7.2,NA,9,7.8,7.7,NA,9.7,9.3,9.5,NA,8.3,NA,NA,NA,NA,9.7,9.7,NA,8.8,9.6
"25a32b565ca223e97aac0f05f0680c3f",2001,2,NA,7,6.2,NA,8.1,7.5,5.5,7.6,8,8.6,5.5,8.9,8.8,9.1,7.3,7.1,8.7,8,7,7.9,6.2,7.6,6,7.7,6.2,8.3
"25e5470ecfd9d5ed2f65c6eff6ebc1eb",2014,2,5,6.1,7,6.7,8.9,7.7,8.6,7.6,8,8.8,7.4,10,9.5,8.6,8.7,5.4,5.3,7.3,8.2,7.9,NA,9.5,8.5,10,7,8.9
"26355ac4b5503595ad5b86b711bf178a",2008,2,8.2,NA,5.1,6.8,7.7,7,7.9,9.1,7.8,8.8,8.5,8.3,7.9,9.1,7,7.2,7.4,7.7,9.2,8.9,5.9,7,9,9.4,7.8,7.8
"26a9a6e94f31ad1c5f01ca3f565ff509",2014,1,7.3,6.6,5,6,7.5,7,8.8,NA,7.5,9.3,7,NA,7.5,8,8.3,7.7,6.5,5.5,NA,7.3,5,7.4,8.1,8.5,7,8
"26d540f3f6ba04acfd96ebb63bb1d8f9",2001,1,NA,6.4,5.5,NA,6.6,7.8,6,5,7.1,6.8,8.5,8.3,8.9,9.4,8.8,9.1,7.1,5.5,7.1,9.2,5.7,7.8,9.3,8.5,5,8.4
"26e7284aac2364adfe41e0d96a1025d1",2003,1,NA,7,5.4,NA,6.8,6.1,NA,7,8.1,8.6,5,7.4,7.6,7.8,9,9.2,7.5,8.3,7.2,8,8,7,7,NA,7.8,7.1
"2714c4620720a91a426039ad257b9d2b",2001,2,NA,8.2,6.5,NA,8.3,7.1,8,10,5.7,9.4,7.5,9,8.5,9,6.2,7.7,8.6,7.5,6.6,7.2,7.1,7.5,7,8.1,7,9.1
"272d7763c1ea256b665ce1efe87ae0e6",2014,2,7.3,8.6,7.4,7.4,NA,7.4,5.7,6.6,9.6,8.8,7.1,NA,7.6,8.9,8.7,NA,7.5,NA,NA,7.5,NA,7.6,8.3,9.4,5,9.4
"27989d6ed23f858214b9daa5c5554c63",2008,2,7,9.7,7.8,8,7,7.8,7.5,7.5,8.6,9.8,9.3,9.3,8.8,9.1,7.3,7.6,7.6,8.1,8.3,9.2,6.6,9.1,9,6.9,8.9,8.9
"27a996d581ffec96e3da4982063c959f",2006,1,NA,5,7.2,5.4,6.3,6.5,6.4,5.9,7.7,7.8,6.7,7.3,8.4,8.2,8.8,6.6,5,5.1,5.8,7.3,5,8.4,6,9.6,6.5,5
"27d4ced0ca590b63e94f87817de52aaa",2014,1,NA,NA,5,6.4,NA,5.2,NA,NA,7,NA,7,NA,5,7,8.2,6.5,5.6,NA,NA,8.5,NA,5,7,5.3,8.5,7.3
"2855bcb76a0be4699f25000b0c919ab8",2001,2,NA,5.6,5,NA,7.2,7.2,7.1,7.5,7.9,8,7.9,8.7,8.1,9.2,6.4,6.8,8.4,NA,5.9,5.7,5.2,5.3,7,7.6,5.3,8.9
"286255ba227808a20c671e5519a2bf05",2006,1,NA,5,5,NA,7.7,7,5.4,5.8,9.4,6.7,7.2,7.7,5,8.5,7.8,9.6,7.8,7.1,7.3,8.1,7.4,5,7.1,7.9,9.6,5.3
"28847f7dacb907fabd18cd32b2b698db",2008,1,9,10,8.6,8.7,10,8.3,8.6,9.4,8.8,9.6,9.7,9.3,8.3,9.7,9.8,10,8.8,10,9,8.2,8.2,7.9,9.5,9.4,7.6,9.2
"2896da5841617b85862847cce237ffc3",2009,1,5,5,5.3,5.1,NA,5.5,7.5,8.1,5.9,5.9,5,NA,7,6.7,7,5.8,7.9,NA,NA,7.3,5.2,7.3,5.9,7.7,5.4,7.6
"28c8062e7da3c73d12e6fd7c2ebc5b04",2006,1,NA,5,10,NA,8.3,7.9,7.8,7,8.3,5.3,7.6,7.8,7.1,9,7.7,7.9,7.1,5.5,7,7.5,7,7,9,7.9,7.8,7.8
"28e235d5fc5794d5336412cdbb173c80",2002,2,0,5.4,5.1,NA,NA,5,3,NA,7.7,7.3,5,NA,8.7,7.3,7.9,5,5.7,NA,NA,5.6,0,7.4,7,7,5.7,6.2
"28f0fe1d4623307c992d24b94708168b",2010,2,5.8,6.9,5.2,5.6,8.3,5,5.1,5.6,5,7.6,5,7.9,8.3,7,7.3,6.5,5.4,7.9,8.3,8.2,6.1,8.3,7.8,8.4,7.4,8
"294ebfd310f6d5747ef5a3f9146be494",2002,1,NA,7.5,7,NA,7.8,7.8,7.3,7.3,9,7.1,7.8,7.4,9.3,8.4,9,8.5,5,8.5,8.7,7.8,5.3,7.8,6.1,8.5,5.2,7.7
"2a2f369a8858fd4a3ec0b70b765feac0",2014,2,5.4,NA,7.3,NA,NA,NA,7.6,NA,7.1,5.7,NA,NA,7.4,8.7,8.2,NA,NA,NA,NA,NA,NA,7.4,7.3,NA,NA,NA
"2acff45cc3d1c6d9e3a8e6d99cdb516b",2001,2,NA,5,7.3,NA,NA,0,7.9,NA,7.2,8,NA,NA,8.7,8.9,7,NA,9,NA,NA,NA,NA,9.3,7,7.8,NA,8
"2b0bd1120c9744b2680fd257ca5b4e89",2003,1,7.3,9.7,9.3,NA,7.7,7.6,7.5,9.4,7.8,8.8,8.4,8.8,9.9,9.3,7.8,8.9,9.7,7,7.9,7.3,7.7,9.8,8.8,8.6,8.4,8.8
"2b66d4c34afe90f58cc464f45f07d44f",2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6.5,NA,7.8,NA,7.4,NA,NA,NA,NA,6.5,NA,NA,NA,NA
"2bfd719789e460096f34257103c0327b",2013,2,NA,0.7,NA,NA,NA,0.7,NA,NA,5,5,1.6,NA,6.2,NA,7.5,NA,1.8,NA,NA,NA,NA,6.2,NA,7.5,NA,5
"2c35e24a4acfa5742407ca2fbb6658ee",2006,2,7,7.2,9,NA,7,7.4,7,7.2,8.7,8.3,7.6,7.5,7.1,9,9.3,7.3,7.2,5.9,5.5,5,6.6,7,8,7.1,5.3,6.2
"2c8bbd2a69874cc23f842fbd7fe1ef5e",2011,1,7.3,5.9,5.9,5.5,8.8,7.1,5.6,9,5.1,8.4,7,8.3,7.3,5.6,8.7,7.6,7.4,7.4,7.2,8.9,7.6,7.5,7.2,7,7.9,7.8
"2d2411b047c7e04985f258b9f75dad5f",2013,2,1.7,5.5,6,7.5,NA,5.6,NA,NA,6.4,7.2,6.3,NA,8.9,7.5,NA,NA,6.8,NA,NA,NA,NA,8.8,7.1,7.1,5.2,6.1
"2d57402839c51cf5a0c9f0f8cf3361e1",2004,2,6.4,8.8,6.4,NA,8.2,7.2,NA,7.9,7.4,7.9,7.6,9,5,9,8.8,7.9,6.8,7.1,8.5,NA,6.6,5.3,7.1,8,7.4,7
"2d87141a69b1f500c66f1f50c474b642",2010,1,NA,7.2,6.5,5.3,NA,7.8,8,5.2,NA,5.4,5.5,NA,7.2,5,6.3,NA,6.3,5,5.2,8.5,6.1,7,5.4,2.5,5.3,7.1
"2d950a07b94cfa24aa2616109efa3376",2010,1,5.1,7.9,7.5,7.6,7,7.6,8.8,9.3,8.7,9.2,7.3,3.2,7,7.8,7.7,7.9,8.3,NA,6.9,5.9,7.4,7,7.8,9.1,8.1,8.1
"2dbfb7b211f4e5c7abfdabd867d520ad",2008,1,8.3,7,6.3,6.7,9.7,8.1,7.6,8.8,8.6,8.6,9.3,9.4,8.8,9.5,9.6,9.7,8.8,9.5,9.1,8.1,7.7,8.3,9.6,9.9,9.2,8.4
"2e9085cbc43e0a9b92c43d6c643af092",2005,1,NA,8,7.3,NA,5.8,7.9,5.8,5,7.3,7.5,8.8,8.1,8.1,8.8,8.6,7.4,7.2,6,7.3,5.6,5.6,7.6,6.4,7.5,8.3,7.4
"2e9be679283772aafe7dfb6906d0091a",2009,1,5,6.3,7,5,8.1,6.7,7.8,8.3,7.1,7.6,8.2,9.6,7.9,5,7.2,8.3,6.3,6,7.2,9.3,6.7,5.3,7.7,9.7,7,6.3
"2f559574e54db0383307e74b5f25e526",2005,1,NA,9.7,8.8,NA,9.3,9.5,8.4,10,8.7,10,10,9.2,9.8,9.5,9.3,10,9.8,7.2,8.8,8.6,9.7,9,9.8,9.5,9.6,10
"2fa76245834840dc5a36a7c87d7d043c",2013,1,5,7,5.1,5.1,6.4,7,7.3,7.4,8.4,9.3,7.2,7.7,6.3,7,8.7,7,5.1,6.6,7,6.5,6.9,6.3,7,8.2,5,8.5
"2fef7046ff26313f9b6b5afe85efd361",2007,2,5.8,5.5,4.2,NA,NA,7,NA,NA,8.3,9.3,7.3,NA,8.6,9.5,9,NA,5.2,NA,NA,NA,NA,8.5,8.2,8.6,5.6,6.3
"3026477a0f22660dd37091c1c5c1f354",2011,2,1,6.9,6.2,NA,NA,3.6,NA,NA,7,6,NA,NA,7.8,6.8,7.3,NA,3.5,NA,NA,NA,NA,7.6,6.9,NA,NA,5.1
"303b445ccf2ce953bec4da02e7ab1695",2014,1,NA,8.1,5.1,NA,NA,3.2,NA,NA,7,5,3,NA,5,5.5,7.7,NA,7.4,NA,NA,NA,NA,5,5,7.6,NA,9.1
"3040d3d93b2b4e309eb160d30a22f57d",2010,1,5.6,7.3,6.5,6.2,7.8,7,8.1,7.2,8.2,8.8,7.6,10,8.5,9.1,7.2,NA,8.5,NA,NA,7.3,5.3,7.9,9.2,9.2,9.4,7.9
"304f68049248549fae272905fff1964c",2009,2,5.3,8.2,5,5.5,7.1,5.1,5.2,8.2,5,6.3,7.2,7.6,7.7,9,5,5.5,5.4,5,5.9,6.2,5.8,6.5,7.7,7,5.1,5.5
"30e099db07fef7cce7613168f8d5689e",2007,2,5.2,5,7,5.4,NA,5.7,7.2,9.1,8.7,9,8.2,NA,8.2,9.3,9,7.5,6,NA,NA,NA,5.8,7,7.4,7.8,7.1,5.6
"30f3cb865cf5ab4c33e6147ed78c56a9",2014,2,7.5,5.1,5.3,7.5,NA,7.1,7,NA,9.1,6.7,7.7,NA,7.5,8.3,7.6,7,6,NA,NA,NA,5.4,7.5,7.7,9.4,5.1,7.5
"314eb140937368be8097823377f84224",2013,2,5,NA,NA,NA,NA,NA,2.3,NA,7,8,NA,NA,NA,NA,7.8,NA,2.7,NA,NA,NA,NA,NA,5.6,NA,NA,9.2
"316721d521617dbcc14b194c4ab8d083",2010,2,2.4,6.1,5.3,2.5,NA,5.4,7.2,NA,7,8.8,5.5,NA,7.2,5,8.3,NA,5.4,NA,NA,NA,NA,7.3,5.7,NA,6.1,8.3
"3195f52b76a73be3b2855580a227e5ed",2008,1,7,7,6.1,5,7.4,5.3,8.3,7.5,8.6,8.3,7.1,7.7,5.9,9,8.6,6.1,5.3,7.6,7,7,5,7.4,7.6,9.1,6,7.2
"31c02ba34c2791101c15a7371969e8e5",2008,1,7.6,8.9,6.7,5.1,8.1,7.4,7,8.4,8.7,8.3,8,7.6,7,9.4,9.3,7,5.4,6.1,7.7,5.4,6.8,7.4,7.9,8.4,6.3,7.4
"31df301d1d809989e3400d92a9e17f24",2005,1,NA,8.2,7.7,NA,9.8,7.8,8.1,8.5,8.7,8.5,9.3,9.3,9.5,9.7,9.3,9.3,8,7.8,8.7,9,7.7,7.9,8,9.1,9.1,7
"31e5b8835f659c258d8065ecff5b8aa1",2009,2,5.6,5,5,5.3,9.2,7,7.1,9.2,8,7.4,8.3,8.1,8.1,7.5,7.2,8.1,7,7.1,7,7.5,5.9,7.8,6.7,8.9,6,5.9
"31fedf96f2b0c5c49c9a0aab5ab7b747",2009,1,5.2,7,5.6,5.1,NA,NA,7,7.5,8,5.3,NA,NA,5.1,NA,7,NA,NA,NA,NA,NA,5.3,5,NA,NA,NA,NA
"32312674d66e205675f4fd9ad2e811e9",2009,2,1.3,6.3,5.7,0.3,NA,NA,NA,NA,NA,7,NA,NA,5.2,5.2,4.6,NA,4.7,NA,NA,NA,NA,5,7.5,NA,NA,NA
"32676dc175a45010b4fc02b145b719d5",2007,1,5,5.9,7.3,NA,7.8,7,7,7.6,8.4,7.7,7.1,7.1,8.7,8.7,8.9,6.2,5.9,7,7.1,6.9,7,8.6,9.3,8.8,5.1,7
